first_name,dk_id,player_name,last_name,position,birth_date,team_id,id,dk_position,dk_id,city,updated_at,created_at,abbreviation,id,team_name
Erick,1,Erick Dampier,Dampier,Center,1975-07-14,1610612737,956,,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,956,Hawks
Etan,1,Etan Thomas,Thomas,Center,1978-04-01,1610612737,2041,,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,2041,Hawks
DeShawn,1,DeShawn Stevenson,Stevenson,Forward-Guard,1981-04-03,1610612737,2052,,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,2052,Hawks
Kirk,1,Kirk Hinrich,Hinrich,Guard,1981-01-02,1610612737,2550,PG,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,2550,Hawks
Kyle,1,Kyle Korver,Korver,Guard,1981-03-17,1610612737,2594,SG,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,2594,Hawks
Kris,1,Kris Humphries,Humphries,Forward,1985-02-06,1610612737,2743,PF,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,2743,Hawks
Johan,1,Johan Petro,Petro,Center,1986-01-27,1610612737,101130,,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,101130,Hawks
Thabo,1,Thabo Sefolosha,Sefolosha,Forward,1984-05-02,1610612737,200757,SF,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,200757,Hawks
Paul,1,Paul Millsap,Millsap,Forward,1985-02-10,1610612737,200794,PF,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,200794,Hawks
Al,1,Al Horford,Horford,Center-Forward,1986-06-03,1610612737,201143,C,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,201143,Hawks
Tiago,1,Tiago Splitter,Splitter,Center-Forward,1985-01-01,1610612737,201168,C,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,201168,Hawks
Ivan,1,Ivan Johnson,Johnson,Forward,1984-04-10,1610612737,201274,,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,201274,Hawks
Austin,1,Austin Daye,Daye,Forward,1988-06-05,1610612737,201948,SF,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,201948,Hawks
Jeff,1,Jeff Teague,Teague,Guard,1988-06-10,1610612737,201952,PG,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,201952,Hawks
Pape,1,Pape Sy,Sy,Forward-Guard,1988-04-05,1610612737,202377,,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,202377,Hawks
Gustavo,1,Gustavo Ayon,Ayon,Forward-Center,1985-04-01,1610612737,202970,,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,202970,Hawks
Mike,1,Mike Scott,Scott,Forward,1988-07-16,1610612737,203118,PF,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,203118,Hawks
Kent,1,Kent Bazemore,Bazemore,Forward-Guard,1989-07-01,1610612737,203145,SG,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,203145,Hawks
Dennis,1,Dennis Schroder,Schroder,Guard,1993-09-15,1610612737,203471,PG,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,203471,Hawks
Mike,1,Mike Muscala,Muscala,Forward-Center,1991-07-01,1610612737,203488,C,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,203488,Hawks
Tim,1,Tim Hardaway Jr.,Hardaway Jr.,Guard,1992-03-16,1610612737,203501,SG,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,203501,Hawks
Pero,1,Pero Antic,Antic,Forward-Center,1982-07-29,1610612737,203544,,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,203544,Hawks
Lamar,1,Lamar Patterson,Patterson,Guard-Forward,1991-08-12,1610612737,203934,SG,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,203934,Hawks
Walter,1,Walter Tavares,Tavares,Center,1992-03-22,1610612737,204002,C,1,Atlanta,2015-10-21 15:29:41,2015-10-21 15:29:41,ATL,204002,Hawks
Shaquille,2,Shaquille O'Neal,O'Neal,Center,1972-03-06,1610612738,406,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,406,Celtics
Gerald,2,Gerald Wallace,Wallace,Forward,1982-07-23,1610612738,2222,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,2222,Celtics
Carlos,2,Carlos Arroyo,Arroyo,Guard,1979-07-30,1610612738,2306,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,2306,Celtics
Chris,2,Chris Wilcox,Wilcox,Forward-Center,1982-09-03,1610612738,2404,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,2404,Celtics
Nenad,2,Nenad Krstic,Krstic,Center,1983-07-25,1610612738,2420,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,2420,Celtics
Keith,2,Keith Bogans,Bogans,Guard-Forward,1980-05-12,1610612738,2586,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,2586,Celtics
Amir,2,Amir Johnson,Johnson,Forward,1987-05-01,1610612738,101161,PF,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,101161,Celtics
Sean,2,Sean Williams,Williams,Forward-Center,1986-09-13,1610612738,201157,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,201157,Celtics
Terrence,2,Terrence Williams,Williams,Guard-Forward,1987-06-28,1610612738,201944,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,201944,Celtics
Jonas,2,Jonas Jerebko,Jerebko,Forward,1987-03-02,1610612738,201973,PF,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,201973,Celtics
Evan,2,Evan Turner,Turner,Guard-Forward,1988-10-27,1610612738,202323,SG,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,202323,Celtics
Avery,2,Avery Bradley,Bradley,Guard,1990-11-26,1610612738,202340,SG,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,202340,Celtics
JaJuan,2,JaJuan Johnson,Johnson,Forward,1989-02-08,1610612738,202707,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,202707,Celtics
Isaiah,2,Isaiah Thomas,Thomas,Guard,1989-02-07,1610612738,202738,PG,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,202738,Celtics
Tyler,2,Tyler Zeller,Zeller,Center-Forward,1990-01-17,1610612738,203092,C,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203092,Celtics
Jared,2,Jared Sullinger,Sullinger,Center-Forward,1992-03-04,1610612738,203096,PF,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203096,Celtics
Fab,2,Fab Melo,Melo,Center,1990-06-20,1610612738,203097,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203097,Celtics
Jae,2,Jae Crowder,Crowder,Forward,1990-07-06,1610612738,203109,SF,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203109,Celtics
Kelly,2,Kelly Olynyk,Olynyk,Center-Forward,1991-04-19,1610612738,203482,C,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203482,Celtics
Gigi,2,Gigi Datome,Datome,Forward,1987-11-27,1610612738,203540,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203540,Celtics
Vitor,2,Vitor Faverani,Faverani,Center,1988-05-05,1610612738,203543,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203543,Celtics
Chris,2,Chris Babb,Babb,Guard,1990-02-14,1610612738,203569,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203569,Celtics
James,2,James Young,Young,Guard-Forward,1995-08-16,1610612738,203923,SG,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203923,Celtics
Marcus,2,Marcus Smart,Smart,Guard,1994-03-06,1610612738,203935,PG,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,203935,Celtics
John,2,John Holland,Holland,Guard-Forward,1988-11-06,1610612738,204066,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,204066,Celtics
RJ,2,RJ Hunter,Hunter,Guard,1993-10-24,1610612738,1626154,,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,1626154,Celtics
Jordan,2,Jordan Mickey,Mickey,Forward,1994-07-09,1610612738,1626175,PF,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,1626175,Celtics
Terry,2,Terry Rozier,Rozier,Guard,1994-03-17,1610612738,1626179,PG,2,Boston,2015-10-21 15:29:41,2015-10-21 15:29:41,BOS,1626179,Celtics
Anthony,5,Anthony Parker,Parker,Guard,1975-06-19,1610612739,1515,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,1515,Cavaliers
Shawn,5,Shawn Marion,Marion,Guard-Forward,1978-05-07,1610612739,1890,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,1890,Cavaliers
Richard,5,Richard Jefferson,Jefferson,Forward,1980-06-21,1610612739,2210,SF,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,2210,Cavaliers
Brendan,5,Brendan Haywood,Haywood,Center,1979-11-27,1610612739,2217,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,2217,Cavaliers
LeBron,5,LeBron James,James,Forward,1984-12-30,1610612739,2544,SF,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,2544,Cavaliers
Dahntay,5,Dahntay Jones,Jones,Guard-Forward,1980-12-27,1610612739,2563,SG,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,2563,Cavaliers
Luke,5,Luke Walton,Walton,Forward,1980-03-28,1610612739,2575,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,2575,Cavaliers
Mo,5,Mo Williams,Williams,Guard,1982-12-19,1610612739,2590,PG,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,2590,Cavaliers
James,5,James Jones,Jones,Guard-Forward,1980-10-04,1610612739,2592,SG,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,2592,Cavaliers
J.R.,5,J.R. Smith,Smith,Guard-Forward,1985-09-09,1610612739,2747,SG,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,2747,Cavaliers
Channing,5,Channing Frye,Frye,Forward,1983-05-17,1610612739,101112,PF,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,101112,Cavaliers
Joey,5,Joey Graham,Graham,Forward,1982-06-11,1610612739,101121,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,101121,Cavaliers
Daniel,5,Daniel Gibson,Gibson,Guard,1986-02-27,1610612739,200789,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,200789,Cavaliers
Chris,5,Chris Quinn,Quinn,Guard,1983-09-27,1610612739,200809,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,200809,Cavaliers
Kevin,5,Kevin Love,Love,Forward,1988-09-07,1610612739,201567,PF,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,201567,Cavaliers
Sasha,5,Sasha Kaun,Kaun,Center,1985-05-08,1610612739,201619,C,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,201619,Cavaliers
Semih,5,Semih Erden,Erden,Center,1986-07-28,1610612739,201623,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,201623,Cavaliers
Luke,5,Luke Harangody,Harangody,Forward,1988-01-02,1610612739,202376,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,202376,Cavaliers
Timofey,5,Timofey Mozgov,Mozgov,Center,1986-07-16,1610612739,202389,C,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,202389,Cavaliers
Kyrie,5,Kyrie Irving,Irving,Guard,1992-03-23,1610612739,202681,PG,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,202681,Cavaliers
Tristan,5,Tristan Thompson,Thompson,Center-Forward,1991-03-13,1610612739,202684,PF,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,202684,Cavaliers
Iman,5,Iman Shumpert,Shumpert,Guard,1990-06-26,1610612739,202697,SG,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,202697,Cavaliers
D.J.,5,D.J. Kennedy,Kennedy,Guard-Forward,1989-11-05,1610612739,202810,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,202810,Cavaliers
Kevin,5,Kevin Jones,Jones,Forward,1989-08-25,1610612739,203158,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,203158,Cavaliers
Carrick,5,Carrick Felix,Felix,Guard-Forward,1990-08-17,1610612739,203467,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,203467,Cavaliers
Matthew,5,Matthew Dellavedova,Dellavedova,Guard,1990-09-08,1610612739,203521,PG,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,203521,Cavaliers
Scotty,5,Scotty Hopson,Hopson,Guard,1989-08-08,1610612739,203816,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,203816,Cavaliers
Jordan,5,Jordan McRae,McRae,Guard,1991-03-28,1610612739,203895,,5,Cleveland,2015-10-21 15:29:41,2015-10-21 15:29:41,CLE,203895,Cavaliers
Melvin,3,Melvin Ely,Ely,Center-Forward,1978-05-02,1610612740,2408,,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,2408,Pelicans
David,3,David Andersen,Andersen,Center,1980-06-23,1610612740,2431,,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,2431,Pelicans
Marcus,3,Marcus Banks,Banks,Guard,1981-11-19,1610612740,2556,,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,2556,Pelicans
Kendrick,3,Kendrick Perkins,Perkins,Center,1984-11-10,1610612740,2570,C,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,2570,Pelicans
DJ,3,DJ Mbenga,Mbenga,Center,1980-12-30,1610612740,2788,,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,2788,Pelicans
Darryl,3,Darryl Watkins,Watkins,Center,1984-11-08,1610612740,201208,,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201208,Pelicans
Eric,3,Eric Gordon,Gordon,Guard,1988-12-25,1610612740,201569,SG,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201569,Pelicans
Alexis,3,Alexis Ajinca,Ajinca,Center,1988-05-06,1610612740,201582,C,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201582,Pelicans
Ryan,3,Ryan Anderson,Anderson,Forward,1988-05-06,1610612740,201583,PF,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201583,Pelicans
Omer,3,Omer Asik,Asik,Center,1986-07-04,1610612740,201600,C,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201600,Pelicans
Patrick,3,Patrick Ewing Jr.,Ewing Jr.,Forward,1984-05-20,1610612740,201607,,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201607,Pelicans
Tyreke,3,Tyreke Evans,Evans,Guard-Forward,1989-09-19,1610612740,201936,SG,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201936,Pelicans
Jrue,3,Jrue Holiday,Holiday,Guard,1990-06-12,1610612740,201950,PG,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201950,Pelicans
Toney,3,Toney Douglas,Douglas,Guard,1986-03-16,1610612740,201962,PG,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201962,Pelicans
Dante,3,Dante Cunningham,Cunningham,Forward,1987-04-22,1610612740,201967,SF,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,201967,Pelicans
Alonzo,3,Alonzo Gee,Gee,Forward,1987-05-29,1610612740,202087,SF,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,202087,Pelicans
Terrel,3,Terrel Harris,Harris,Guard,1987-08-10,1610612740,202227,,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,202227,Pelicans
Luke,3,Luke Babbitt,Babbitt,Forward,1989-06-20,1610612740,202337,SF,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,202337,Pelicans
Quincy,3,Quincy Pondexter,Pondexter,Forward-Guard,1988-03-10,1610612740,202347,SF,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,202347,Pelicans
Jerome,3,Jerome Dyson,Dyson,Guard,1987-05-01,1610612740,202406,,3,New Orleans,2015-10-21 15:29:41,2015-10-21 15:29:41,NOP,202406,Pelicans
